VCC	3.3	Max ADC	4096	Pull Down	10000	Thermistor	10000				
ADC Value (0-4096)	Ratio	Voltage	Thermistor Resistance	Temperature (K)	Temperature (C)						
0	0	0	0	#NUM!	#NUM!						
4	0.0009765625	0.00322265625	9.775171065	588.79	315.64						
8	0.001953125	0.0064453125	19.56947162	539.70	266.55						
12	0.0029296875	0.00966796875	29.38295788	514.27	241.12			A	B	C	D
16	0.00390625	0.012890625	39.21568627	497.49	224.34			3.35E-03	2.57E-04	2.62E-06	6.38E-08
20	0.0048828125	0.01611328125	49.06771344	485.12	211.97						
24	0.005859375	0.0193359375	58.93909627	475.41	202.26						
28	0.0068359375	0.02255859375	68.82989184	467.47	194.32						
32	0.0078125	0.02578125	78.74015748	460.76	187.61						
36	0.0087890625	0.02900390625	88.66995074	454.99	181.84						
40	0.009765625	0.0322265625	98.61932939	449.93	176.78						
44	0.0107421875	0.03544921875	108.5883514	445.43	172.28						
48	0.01171875	0.038671875	118.5770751	441.39	168.24						
52	0.0126953125	0.04189453125	128.5855589	437.72	164.57						
56	0.013671875	0.0451171875	138.6138614	434.37	161.22						
60	0.0146484375	0.04833984375	148.6620416	431.30	158.15						
64	0.015625	0.0515625	158.7301587	428.45	155.30						
68	0.0166015625	0.05478515625	168.8182721	425.80	152.65						
72	0.017578125	0.0580078125	178.9264414	423.33	150.18						
76	0.0185546875	0.06123046875	189.0547264	421.01	147.86						
80	0.01953125	0.064453125	199.2031873	418.83	145.68						
84	0.0205078125	0.06767578125	209.3718843	416.78	143.63						
88	0.021484375	0.0708984375	219.5608782	414.83	141.68						
92	0.0224609375	0.07412109375	229.7702298	412.98	139.83						
96	0.0234375	0.07734375	240	411.23	138.08						
100	0.0244140625	0.08056640625	250.2502503	409.55	136.40						
104	0.025390625	0.0837890625	260.5210421	407.95	134.80						
108	0.0263671875	0.08701171875	270.8124373	406.43	133.28						
112	0.02734375	0.090234375	281.124498	404.96	131.81						
116	0.0283203125	0.09345703125	291.4572864	403.55	130.40						
120	0.029296875	0.0966796875	301.8108652	402.20	129.05						
124	0.0302734375	0.09990234375	312.1852971	400.90	127.75						
128	0.03125	0.103125	322.5806452	399.65	126.50						
132	0.0322265625	0.1063476563	332.9969728	398.44	125.29						
136	0.033203125	0.1095703125	343.4343434	397.27	124.12						
140	0.0341796875	0.1127929688	353.892821	396.14	122.99						
144	0.03515625	0.116015625	364.3724696	395.04	121.89						
148	0.0361328125	0.1192382813	374.8733536	393.98	120.83						
152	0.037109375	0.1224609375	385.3955375	392.95	119.80						
156	0.0380859375	0.1256835938	395.9390863	391.96	118.81						
160	0.0390625	0.12890625	406.504065	390.99	117.84						
164	0.0400390625	0.1321289063	417.0905392	390.04	116.89						
168	0.041015625	0.1353515625	427.6985743	389.13	115.98						
172	0.0419921875	0.1385742188	438.3282365	388.24	115.09						
176	0.04296875	0.141796875	448.9795918	387.37	114.22						
180	0.0439453125	0.1450195313	459.6527068	386.52	113.37						
184	0.044921875	0.1482421875	470.3476483	385.69	112.54						
188	0.0458984375	0.1514648438	481.0644831	384.89	111.74						
192	0.046875	0.1546875	491.8032787	384.10	110.95						
196	0.0478515625	0.1579101563	502.5641026	383.33	110.18						
200	0.048828125	0.1611328125	513.3470226	382.58	109.43						
204	0.0498046875	0.1643554688	524.1521069	381.84	108.69						
208	0.05078125	0.167578125	534.9794239	381.12	107.97						
212	0.0517578125	0.1708007813	545.8290422	380.42	107.27						
216	0.052734375	0.1740234375	556.7010309	379.73	106.58						
220	0.0537109375	0.1772460938	567.5954592	379.06	105.91						
224	0.0546875	0.18046875	578.5123967	378.40	105.25						
228	0.0556640625	0.1836914063	589.4519131	377.75	104.60						
232	0.056640625	0.1869140625	600.4140787	377.11	103.96						
236	0.0576171875	0.1901367188	611.3989637	376.49	103.34						
240	0.05859375	0.193359375	622.406639	375.88	102.73						
244	0.0595703125	0.1965820313	633.4371755	375.27	102.12						
248	0.060546875	0.1998046875	644.4906445	374.68	101.53						
252	0.0615234375	0.2030273438	655.5671176	374.10	100.95						
256	0.0625	0.20625	666.6666667	373.53	100.38						
260	0.0634765625	0.2094726563	677.7893639	372.97	99.82						
264	0.064453125	0.2126953125	688.9352818	372.42	99.27						
268	0.0654296875	0.2159179688	700.1044932	371.88	98.73						
272	0.06640625	0.219140625	711.2970711	371.35	98.20						
276	0.0673828125	0.2223632813	722.513089	370.83	97.68						
280	0.068359375	0.2255859375	733.7526205	370.31	97.16						
284	0.0693359375	0.2288085938	745.0157398	369.80	96.65						
288	0.0703125	0.23203125	756.302521	369.30	96.15						
292	0.0712890625	0.2352539063	767.6130389	368.81	95.66						
296	0.072265625	0.2384765625	778.9473684	368.32	95.17						
300	0.0732421875	0.2416992188	790.3055848	367.85	94.70						
304	0.07421875	0.244921875	801.6877637	367.38	94.23						
308	0.0751953125	0.2481445313	813.093981	366.91	93.76						
312	0.076171875	0.2513671875	824.5243129	366.45	93.30						
316	0.0771484375	0.2545898438	835.978836	366.00	92.85						
320	0.078125	0.2578125	847.4576271	365.56	92.41						
324	0.0791015625	0.2610351563	858.9607635	365.12	91.97						
328	0.080078125	0.2642578125	870.4883227	364.68	91.53						
332	0.0810546875	0.2674804688	882.0403826	364.26	91.11						
336	0.08203125	0.270703125	893.6170213	363.83	90.68						
340	0.0830078125	0.2739257813	905.2183174	363.42	90.27						
344	0.083984375	0.2771484375	916.8443497	363.01	89.86						
348	0.0849609375	0.2803710938	928.4951974	362.60	89.45						
352	0.0859375	0.28359375	940.1709402	362.20	89.05						
356	0.0869140625	0.2868164063	951.8716578	361.80	88.65						
360	0.087890625	0.2900390625	963.5974304	361.41	88.26						
364	0.0888671875	0.2932617188	975.3483387	361.02	87.87						
368	0.08984375	0.296484375	987.1244635	360.64	87.49						
372	0.0908203125	0.2997070313	998.9258861	360.26	87.11						
376	0.091796875	0.3029296875	1010.752688	359.89	86.74						
380	0.0927734375	0.3061523438	1022.604952	359.52	86.37						
384	0.09375	0.309375	1034.482759	359.15	86.00						
388	0.0947265625	0.3125976563	1046.386192	358.79	85.64						
392	0.095703125	0.3158203125	1058.315335	358.43	85.28						
396	0.0966796875	0.3190429688	1070.27027	358.08	84.93						
400	0.09765625	0.322265625	1082.251082	357.73	84.58						
404	0.0986328125	0.3254882813	1094.257855	357.38	84.23						
408	0.099609375	0.3287109375	1106.290672	357.04	83.89						
412	0.1005859375	0.3319335938	1118.34962	356.70	83.55						
416	0.1015625	0.33515625	1130.434783	356.37	83.22						
420	0.1025390625	0.3383789063	1142.546246	356.03	82.88						
424	0.103515625	0.3416015625	1154.684096	355.70	82.55						
428	0.1044921875	0.3448242188	1166.848419	355.38	82.23						
432	0.10546875	0.348046875	1179.039301	355.06	81.91						
436	0.1064453125	0.3512695313	1191.256831	354.74	81.59						
440	0.107421875	0.3544921875	1203.501094	354.42	81.27						
444	0.1083984375	0.3577148438	1215.77218	354.11	80.96						
448	0.109375	0.3609375	1228.070175	353.80	80.65						
452	0.1103515625	0.3641601563	1240.39517	353.49	80.34						
456	0.111328125	0.3673828125	1252.747253	353.19	80.04						
460	0.1123046875	0.3706054688	1265.126513	352.88	79.73						
464	0.11328125	0.373828125	1277.53304	352.59	79.44						
468	0.1142578125	0.3770507813	1289.966924	352.29	79.14						
472	0.115234375	0.3802734375	1302.428256	352.00	78.85						
476	0.1162109375	0.3834960938	1314.917127	351.70	78.55						
480	0.1171875	0.38671875	1327.433628	351.42	78.27						
484	0.1181640625	0.3899414063	1339.977852	351.13	77.98						
488	0.119140625	0.3931640625	1352.549889	350.85	77.70						
492	0.1201171875	0.3963867188	1365.149834	350.56	77.41						
496	0.12109375	0.399609375	1377.777778	350.29	77.14						
